Question,A,B,C,D,Answer
A man can cover a certain distance in 3 hours 36 minutes If he walks at the rate of 5 km hr If he covers the same distance on cycle at the rate of 24 km hr then the time taken by him in minutes is ,40 minutes,45 minutes,50 minutes,55 minutes,B
A 120 metres long train is running at a speed of 90 km per hour It will cross a railway platform 230 m long in ,,,7 sec,14 sec,D
Two trains 180 metres and 120 metres in length are running towards each other on parallel tracks one at the rate 65 km hr and another at 55 km hr In how many seconds will they be cross each other from the moment they meet ,6 seconds,9 seconds,12 seconds,15 seconds,B
A distance is covered by a cyclist at a certain speed If a jogger covers half of the distance in double the time the ratio of the speed of the jogger to that of the cyclist is ,1:04,4:01,1:02,2:01,A
A thief steals a car at 1 30 pm and drive it off 40 km hr The theft is discovered at 2 pm and the owner sets off in another car at 50 km hr he will catch the thief at ,5 pm,4 pm,4.30 pm,6 pm,B
In covering a distance of 30 km Abhay takes 2 hours more than Sameer If Abhay doubles his speed then he would take 1 hour less then Sameer Abhay s speed in km hr is ,5,6,6.25,7.5,A
In a 100 metres race Kamal defeats Bimal by 5 seconds If the speed of Kamal is 18 kmph then the speed of Bimal is ,15.4 kmph,14.5 kmph,14.4 kmph,14 kmph,C
At an average speed of 80 km hr Shatabdi Express reaches Ranchi from Kolkata in 7 hrs Then the distance between Kolkata and Ranchi is ,560 km,506 km,560 m,650 m,A
Two trains one 160 m and the other 140 m long are running in opposite directions on parallel tracks the first at 77 km an hour and the other at 67 km an hour How long will they take to cross each other ,7 sec,,6 sec,10 sec,B
Raj and Prem walk in opposite direction at the rate 3 km hr and 2 km per hour respectively How far will they be from each other after 2 hrs ,8  km,10 km,2 km,61 km,B
,6:13,6:23,6:31,6:37,C
A is faster than B A and B each walk 24 km The sum of their speeds is 7 km hr and the sum of times taken by them is 14 hours Then A s speed is equal to ,3 km/hr,4 km/hr,5 km/hr,7 km/hr,B
,7 hr,8 hr,14 hr ,16 hr,B
A journey of 192 km between two cities take 2 hours less by a fast train than by a slow train If the average speed of the slow train is 16 km hr less than that of the fast train the average speed of the fast train is ,32 km/hr,36 km/hr,48 km/hr,64 km/hr,C
A walk at a uniform rate of 4 km an hour and 4 hr after his start B bicycles after him at the uniform rate of 10 km an hour How far from the starting point will B catch A ,16.7 km,18.6 km,21.5 km,26.7 km,D
Two cyclists k kilometres apart and starting at the same time would be together in r hours if they travelled in the same direction but would pass each other in t hours if they travelled in opposite directions The ratio of the speed of the faster cyclist to that of the slower is ,,,,,A
A certain distance is covered by a cyclist at a certain speed If a jogger covers half the distance in double the time the ratio of the speed of the jogger to that of the cyclist is ,1:02,2:01,1:04,4:01,C
A person travels equal distance with speeds of 3 km hr 4 km hr and 5 km hr and taken a total time of 47 minutes The total distance in km is ,2 km,3 km,4 km,5 km,B
Mary jogs 9 km at a speed of 6 km per hour At what speed would she need to jog during the next 1 5 hours to have an average of 9 km per hour for the entire jogging session ,9 kmph,10 kmph,12 kmph,14 kmph,C
If a person walks at 14 km hr instead of 10 km hr he would have walked 20 km more The actual distance travelled by him is ,50 km,56 km,70 km,80 km,A
A long distance runner run 9 laps of a 400 metres track everyday His timings in min for four consecutive days are 88 96 89 and 87 respectively On an average how many metres minutes does the runner cover ,17.78 m/min,40 m/min,90 m/min,None of these,B
