Question,A,B,C,D,Answer
,,,,,
,,,,,
,,,,,
Two pipes A and B can fill a cistern in 37 frac 1 2 minutes and 45 minutes respectively Both pipes are opened The cistern will be filled in just half an hour if the B is turned off after ,5 min.,9 min.,10 min.,15 min.,B
A tank is filled by three pipes with uniform flow The first two pipes operating simultaneously fill the tank in the same time during which the tank is filled by the third pipe alone The second pipe fills the tank 5 hours faster than the first pipe and 4 hours slower than the third pipe The time required by the first pipe is ,6 hours,10 hours,15 hours,30 hours,C
One pipe can fill a tank three times as fast as another pipe If together the two pipes can fill the tank in 36 minutes then the slower pipe alone will be able to fill the tank in ,81 min.,108 min.,144 min.,192 min.,C
A large tanker can be filled by two pipes A and B in 60 minutes and 40 minutes respectively How many minutes will it take to fill the tanker from empty state if B is used for half the time and A and B fill it together for the other half ,15 min,20 min,27.5 min,30 min,D
A tap can fill a tank in 6 hours After half the tank is filled three more similar taps are opened What is the total time taken to fill the tank completely ,3 hrs 15 min,3 hrs 45 min,4 hrs,4 hrs 15 min,B
,,,,,
Three pipes A B and C can fill a tank in 6 hours After working at it together for 2 hours C is closed and A and B can fill the remaining part in 7 hours The number of hours taken by C alone to fill the tank is ,10,12,14,16,C
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Water is continuously supplied from a reservoir to a locality at the steady raye of 10000 liters per hours When delivery exceeds demand the excess water is stored in a tank If the demand for consecutive three hour periods is 1000 10000 45000 25000 40000 15000 60000 and 35000 liters respectively what will be the minimum capacity required of the water tank in thousand liters to meet the demand and avoid any wastage ,10,30,40,50,C
,,,,,D
,,,,,B
Two pipe can fill a cistern in 3 hours and 4 hours respectively and a waste pipe can empty it in 2 hours If all the three pipes are kept open then the cistern will be filled in ,5 hours,8 hours,10 hours,12 hours,D
 frac 3 4 part of the tank is full of water When 30 litres of water is taken out the tank becomes empty The capacity of the tank is ,36 liters,42 liters,40 liters,38 liters,C
A tank has a leak which would empty the completely filled tank in 10 hours If the tank is full of water and a tap is opened which admits 4 litres of water per minute in the tank the leak takes 15 hours to empty the tank How many litres of water does the tank hold ,2400 L,4500 L,1200 L,7200 L,D
,,,,,
One pipe can fill a tank three times as fast as another pipe If together the two pipes can fill the tank in 36 minutes then the slower pipe alone will be able to fill the tank in ,81 min,108 min,144 min,192 min,C
A swimming pool is filled by three pipes with uniform flow The first two pipes operating simultaneously fill the pool in the same time during which the pool is filled by the third pipe alone The second pipe fills the pool 5 hours faster than the first pipe and 4 hours slower than the third pipe The time required by the first pipe is ,6 hours,10 hours,15 hours,30 hours,C
12 buckets of water fill a tank when the capacity of each bucket is 13 5 litres How many buckets will be needed to fill the same tank if the capacity of each bucket is 9 litres ,8,15,16,18,D
Two pipes A and B can fill a tank in 20 and 30 hours respectively Both the pipes are opened to fill the tank but when the tank is one third full a leak develops in the tank through which one third water supplied by both the pipes gose out The total time taken to fill the tank is ,12 hours,14 hours,16 hours,18 hours,C
,,,,,
Two pipes can fill a tank in 20 and 24 minutes respectively and a waste pipe can empty 3 gallons per minutes All the three pipes working together can fill the tank in 15 minutes The capacity of the tank is ,60 gallons,100 gallons,120 gallons,180 gallons,C
An outlet pipe can empty a cistern in 3 hours In what time will empty ,3 hours,5 hours,2 hours,4 hours,A
A tank is 7 metre long and 4 meter wide wide At what speed should water run through a pipe 5 cm broad and 4 cm deep so that in 6 hours and 18 minutes water level in the tank rises by 4 5 meter ,10 km/hr,12 km/hr,8 km/hr,None of these,A
