Question,A,B,C,D,Answer
If A and B together can complete a piece of work in 15 days and B alone in 20 days in how many days can A alone complete the work ,60,45,40,30,A
If A and B together can complete a work in 18 days A and C together in 12 days and B and C together in 9 days then B alone can do the work in ,18 days,24 days,30 days,40 days,B
A and B together can complete a work in 3 days They start together but after 2 days B left the work If the work is completed after two more days B alone could do the work in ,5 days,6 days,9 days,10 days,B
A can complete a piece of work in 18 days B in 20 days and C in 30 days B and C together start the work and forced to leave after 2 days The time taken by A alone to complete the remaining work is ,"10 days		","12 days	","15 days	",16 days,C
Working 5 hours a day A can Complete a work in 8 days and working 6 hours a day B can complete the same work in 10 days Working 8 hours a day they can jointly complete the work in ,3 days,4 days,"4.5 days		", 5.4 days,A
Ganga and Saraswati working separately can mow field in 8 and 12 hours respectively If they work in stretches of one hour alternately Ganga is beginning at 9 a m when will the moving be completed ,6:20 PM,6:30 PM,6:36 PM,6:42 PM,C
If 10 men can do a piece of work in 12 days the time taken by 12 men to do the same piece of work will be ,12 days,10 days,9 days,8 days,B
To complete a work A takes 50 more time than B If together they take 18 days to complete the work how much time shall B take to do it ,30 days,35 days,40 days," 45 days 	",A
If 10 men or 20 boys can make 260 mats in 20 days then how many mats will be made by 8 men and 4 boys in 20 days ,260,240,280,520,A
,,,,,C
3 men or 5 women can do a work in 12 days How long will 6 men and 5 women take to finish the work ,20 days,10 days,4 days,15 days,C
A particular job can be completed by a team of 10 men in 12 days The same job can be completed by a team of 10 women in 6 days How many days are needed to complete the job if the two teams work together ,4 days,6 days,9 days,18 days,A
Two workers A and B are engaged to do a work A working alone takes 8 hours more to complete the job than if both worked together If B worked alone he would need 4,4 hours,5 hours,6 hours,7 hours,C
Three friends Anne Bob and Chris work together to do a certain job Time it takes them to do the work together to do a certain job The it takes them to do the work together is 6 hours less than Anne would have take alone 1 hour less than Bob would have taken alone and half the time Chris would have taken working alone text How long did it take them to complete the job working together ,20 minutes,30 minutes,40 minutes,50 minutes,C
A and B together can complete a work in 12 days B and C together can complete the same work in 8 days and A and C together can complete it in 16 days In total how many days do A B and C together take to complete the same work ,,,,,D
A B and C completed a work costing Rs 1800 A worked for 6 days B for 4 days and C for 9 days If their daily wages are in the ratio of 5 6 4 how much amount will be received by A ,Rs 600,Rs. 750,Rs. 800,Rs. 900,A
,10 days,8 days,12 days,15 days,A
If the expenditure of gas on burning 6 burners for 6 hours a day for 8 days is Rs 450 then how many burners can be used for 10 days at 5 hours a day for Rs 625 ,12,16,4,8,D
X can do a piece of work in 24 days When he had worked for 4 days Y joined him If complete work was finished in 16 days Y can alone finish that work in ,27 days,36 days,42 days,18 days,B
Working efficiencies of P and Q for completing a piece of working are in the ratio 3 4 The number of days to be taken by them to complete the work will be in the ratio ,3:02,2:03,3:04,4:03,D
A is thrice good a workman as B and therefore is able to finish a job in 40 days less than B Working together they can do it in ,15 days,16 days,18 days,20 days,A
A and B can compete a piece of work in 18 days They worked together for 12 days and then A left B alone finished the work in 15 days If Rs 1500 be paid for the work then A s share is ,Rs. 750,Rs. 800,Rs. 600,Rs. 900,C
If 3 men or 4 women can plough a field in 43 days how long will 7 men and 5 women take to plough it ,10 days,11 days,9 days,12 days,D
To complete a piece of work A and B take 8 days B and C 12 days A B and C take 6 days A and C will take ,7 Days,7.5 Days,8 Days,8.5 Days,C
Two pipes can fill the cistern in 10hr and 12 hr respectively while the third empty it in 20hr If all pipes are opened simultaneously then the cistern will be filled in ,7.5 hr,8 hr,8.5 hr,10 hr,A
A B and C can do a piece of work in 20 30 and 60 days respectively In how many days can A do the work if he is assisted by B and C on every third day ,12 days,15 days,16 days,18 days,B
A is thrice as good as workman as B and therefore is able to finish a job in 60 days less than B Working together they can do it in ,20 days,,25 days,30 days,B
A alone can do a piece of work in 6 days and B alone in 8 days A and B undertook to do it for Rs 3200 With the help of C they completed the work in 3 days How much is to be paid to C ,Rs. 375,Rs. 400,Rs. 600,Rs. 800,B
If 6 men and 8 boys can do a piece of work in 10 days while 26 men and 48 boys can do the same in 2 days the time taken by 15 men and 20 boys in doing the same type of work will be ,4 days,5 days,6 days,7 days,A
A can do a piece of work in 4 hours B and C together can do it in 3 hours while A and C together can do it in 2 hours How long will B alone take to do it ,8 hours,10 hours,12 hours,24 hours,C
Raj can do a piece of work in 20 days He started the work and left after some days when 25 work was done After it Abhijit joined and completed it working for 10 days In how many days Raj and Abhijit can do the complete work working together ,6,8,10,12,B
If 10 persons can do a job in 20 days then 20 person with twice the efficiency can do the same job in ,5 days,40 days,10 days,20 days,A
There was a leakage in the container of the refined oil If 11 kg oil is leaked out per day then it would have lasted for 50 days if the leakage was 15 kg per day then it would have lasted for only 45 days For how many days would the oil have lasted if there was no leakage ant it was completely used for eating purpose ,80 days,72 days,100 days,120 days,B
If 2 men or 3 women or 4 boys can do a piece of work in 52 days then the same piece of work will be done by 1 man 1 woman and 1 boy in ,48 days,36 days,45 days ,50 days,A
If one pipe A can fill a tank in 20 minutes then 5 pipes each of 20 efficiency of A can fill the tank in ,80 min,100 min,20 min,25 min,C
Three taps A B and C together can fill an empty cistern in 10 minutes The tap A alone can fill it in 30 minutes and the tap B alone in 40 minutes How long will the tap C alone take to fill it ,16 minutes,24 minutes,32 minutes,40 minutes,B
A and B working separately can do a piece of work in 9 and 15 days respectively If they work for a day alternately with A beginning then the work will be completed in ,9,10,11,12,C
Two pipes A and B can fill a tank in 36 min and 45 min respectively Another pipe C can empty the tank in 30 min First A and B are opened After 7 minutes C is also opened The tank filled up in ,39 min.,46 min,40 min.,45 min.,A
Three men A B C working together can do a job in 6 hours less time than A alone in one hour less time than B alone and in one half the time needed by C when working alone Then A and B together can do the job in ,,,,,D
A does half as much work as B in one sixth of the time If together they take 10 days to complete a work how much time shall B take to do it alone ,13.33 days,20 days,30 days,40 days,D
A tank can be filled with water by two pipes A and B together in 36 minutes If the pipe B was stopped after 30 minutes the tank is filled in 40 minutes The pipe B can alone fill the tank in ,45 minutes,"60 minutes	",75 minutes,90 minutes,D
A boy and girl together fill a cistern with water The boy pours 4 liters of water every 3 minutes and girl pours 3 litres every 4 minutes How much time will it take to fill 100 litres of water in the cistern ,36 minute,42 minutes,48 minutes,44 minutes,C
