Question,A,B,C,D,Answer,Q
Introducing a lady a man said Her mother is the only daughter of my mother in law What is the man to the lady ,Son,Father,Uncle,Husband,B,Blood
Introducing a woman a man said Her mother s husband s sister is my aunt How man is related to the woman ,Nephew,Brother,brother-in-law,Cousin,B,Blood
Leela who is Sohan s daughter says to Latika Your mother Alka is the younger sister of my father who is the third child of Gajanan What is the relation of Gajanan to Latika ,Father,Uncle,Grandfather,Father-in-law,C,Blood
Old man s son is my son s uncle then what relation has the old man me ,Brother,Father,Grandfather,Uncle,B,Blood
There are five persons sitting on a bench Blue eyed lady sitting in the middle is my mother At the extreme left the man with grey hair is my maternal uncle Lady sitting at the extreme right is having a pimple on her nose and is the wife of person who is sitting between blue eyed lady and grey haired man and has a pointed nose A lady having marks on her face is the younger sister of the blue eyed lady and sitting on the remaining fifth place The person having a pointed nose is the son of the blue eyed lady What is the lady having marks on her face to the man sitting at extreme left ,Wife,Maternal Aunt,Sister,Sister-in-law,C,Blood
Pointing to Gopi Nalni says I am the daughter of the only son of his grandfather How Nalni is related to Gopi ,Niece,Daughter,Sister,Cannot be determined,C,Blood
A s son B is married with C whose sister D is married to E the brother of B How D is related to A ,Sister,Daughter,Sister-in-law,Cousin,B,Blood
Pointing to a lady a person said The son of her only brother is the brother of my wife How is the lady related to the person ,Maternal aunt,Grandmother,Sister of father-in-law,None of these,C,Blood
1 B5D means B is the father of D ,F3M5K,F5M3K,F9M4N3K,F3M5N3K,A,Blood
 2 B9D means B is the sister of D ,Q $ R # T @ M,Q $ R @ T # M,Q $ R * T # M,Q $ R @ T * M,D,Blood
Pointing a photograph X said to his friend Y She is the only daughter of the father of my mother How X is related to the person of photograph ,Daughter,Son,Nephew,Cannot be decided,B,Blood
Veena who is the sister in law of Ashok is the daughter in law of Kalyani Dheeraj is the father of Sudeep who is the only brother of Ashok How Kalyani is related to Ashok ,Mother-in-law,Aunt,Wife,None of these,D,Blood
If A B means A is the sister of B A x B means A is the wife of B A B means A is the father of B and A B means A is the brother of B Which of the following means T is the daughter of P ,P x Q % R + S - T,P x Q % R - T + S,P x Q % R + T - S,P x Q % R + S + T,B,Blood
Pointing to a woman Abhijit said Her granddaughter is the only daughter of my brother How is the woman related to Abhijit ,Sister,Grandmother,Mother-in-law,Mother,D,Blood
Amit said This girl is the wife of the grandson of my mother How is Amit related to the girl ,Brother,Grandfather,Husband,Father-in-law,D,Blood
Pointing to a person Deepak said His only brother is the father of my daughter s father How is the person related to Deepak ,Father,Grandfather,Uncle,Brother-in-law,C,Blood
P is the mother of K K is the sister of D D is the father of J How is P related to J ,Mother,Grandmother,Aunt,Data inadequate,B,Blood
If P Q means P is the father of Q P Q means P is the mother of Q and P Q means P is the sister of Q then N L P Q shows which of the relation of Q to N ,Grand son,Grand daughter,Nephew,Data is inadequate,D,Blood
If A B means A is the brother of B A B means A is the wife of B A B means A is the daughter of B and A B means A is the father of B which of the following indicates that U is the father in law of P ,P @ Q $ T # U * W,P @ W $ Q * T # U,P @ Q $ W * T # U,P @ Q $ T # W * U,A,Blood
Introducing a man a woman said He is the only son of the mother of my mother How is the woman related to the man ,Mother,Sister,Niece,Maternal aunt,C,Blood
If A B means A is the mother of B A B means A is the brother B A B means A is the father of B and A x B means A is the sister of B which of the following shows that P is the maternal uncle of Q ,Q - N + M x P,P + S x N - Q,P - M + N x Q,Q - S % P,C,Blood
If A is the brother of B B is the sister of C and C is the father of D how D is related to A ,Brother,Sister,Nephew,Cannot be determined,D,Blood
If A B means A is the brother of B A B means A is the sister of B and A x B means A is the father of B Which of the following means that C is the son of M ,M - N x C + F,F - C + N x M,N + M - F x C,M x N - C + F,D,Blood
Introducing a boy a girl said He is the son of the daughter of the father of my uncle How is the boy related to the girl ,Brother,Nephew,Uncle,Son-in-law,A,Blood
