Question,A,B,C,D,Answer,Q
An accurate clock shows 8 o clock in the morning Through how may degrees will the hour hand rotate when the clock shows 2 o clock in the afternoon ,144º,150º,168º,180º,D,ages
The reflex angle between the hands of a clock at 10 25 is ,180º,,195º,,D,ages
A clock is started at noon By 10 minutes past 5 the hour hand has turned through ,145º,150º,155º,160º,C,ages
A watch which gains 5 seconds in 3 minutes was set right at 7 a m In the afternoon of the same day when the watch indicated quarter past 4 o clock the true time is ,,4 p.m.,,,B,ages
How much does a watch lose per day if its hands coincide every 64 minutes ,,,90 min.,96 min.,A,ages
At what time between 7 and 8 o clock will the hands of a clock be in the same straight line but not together ,5 min. past 7,,,,D,ages
At what time between 5 30 and 6 will the hands of a clock be at right angles ,,,40 min. past 5,45 min. past 5,B,ages
The angle between the minute hand and the hour hand of a clock when the time is 4 20 is ,0º,10º,5º,20º,B,ages
At what angle the hands of a clock are inclined at 15 minutes past 5 ,,$${64^ \circ }$$,,,C,ages
At 3 40 the hour hand and the minute hand of a clock form an angle of ,120°,125°,130°,135°,C,ages
,,,,,,ages
It is between 3 pm and 4 pm and the distance between the hour hand and the minute hand of clock is 18 minutes spaces What time does the clock show ,3:12 PM,3:27 PM,3:31 PM,3:36 PM,D,ages
In an accurate clock in a period of 2 hours 20 minutes the minute hand will move over ,140° ,320° ,520° ,840° ,D,ages
What is the area of the face of a clock described by its minutes hand between 9 am and 9 35 am if the minutes hand is 10 cm long ,,,,None of these,C,ages
The angle between the hands of a clock when the time is 4 25 am is ,,,,,B,ages
At what time between 7 and 8 o clock will the hands of a clock be in the same straight line but not together ,5 min. past 7,,,,D,ages
At what time between 5 30 and 6 will the hands of a clock be at right angles ,,,40 min. past 5,45 min. past 5,B,ages
The angle between the minute hand and the hour hand of a clock when the time is 4 20 is ,0º,10º,5º,20º,B,ages
,,,,,,ages
At 3 40 the hour hand and the minute hand of a clock form an angle of ,120°,125°,130°,135°,C,ages
Imagine that your watch was correct at noon but then it began to lose 30 minutes each hour It now show 4 pm but it stopped 5 hours ago What is the correct time now ,9:30 PM,11 pm,1 am,1:30 AM,C,ages
How many rotations will the hour hand of a clock complete in 72 hours ,3,6,9,12,B,ages
,,,,,,ages
At 9 38 A M through how many degrees the hour hand of a clock moved since noon the previous day ,323° ,612° ,646° ,649° ,D,ages
The hands of a clock are 10 cm and 7 cm respectively The difference between the distance traversed by their extremities in 3 days 5 hours is ,4552.67 CM,4555.67 CM,4557.67 CM,4559.67 CM,C,ages
At what time in minutes between 3 o clock and 4 o clock both the needles will coincide each other ,,,,,D,ages
How many times do the hands of a clock coincide in a day ,20,21,22,24,C,ages
How many times in a day the hands of a clock are straight ,22,24,44,48,C,ages
A watch which gains uniformly is 2 minutes low at noon on Monday and is 4 min 48 sec fast at 2 p m on the following Monday When was it correct ,2 p.m. on Tuesday,2 p.m. on Wednesday,3 p.m. on Thursday,1 p.m. on Friday,B,ages
A watch becomes fast by 5 minutes everyday By what percent does it become fast ,,,5%,,D,ages
How many times are the hour hand and the minute hand of a clock of a right angles during their motion from 1 00 pm to 10 00 pm ,9,10,18,20,C,ages
Wall clock gains 2 minutes in 12 hours while a table clock loses 2 minutes every 36 hours Both are set right at 12 noon on Tuesday The correct time when both show the same time next would be ,"12:30 at nights, after 130 days","12 noon, after 135 days","1:30 at nights, after 130 days","12 midnight, after 135 days",B,ages
A clock is displaying correct time at 9 am on Monday If the clock loses 12 minutes in 24 hours then the actual time when the clock indicates 8 30 pm on Wednesday of the same week is ,8 pm,7 pm,9 pm,8:59:45 PM,C,ages
A wall clock takes 9 seconds in tinging at 9 o clock The time it will take in tinging at 11 o clock is ,10 seconds,1.80 seconds,11 seconds,11.25 seconds,D,ages
,14 hours 9 minutes 34 seconds,14 hours 9 minutes 40 seconds,14 hours 10 minutes 6 seconds,14 hours 10 minutes 32 seconds,B,ages
How many times are the hands of a clock at right angle in a day ,22,24,44,48,C,ages
The angle between the minute hand and the hour hand of a clock when the time is 8 30 is ,80°,75°,60°,105°,B,ages
How many times in a day are the hands of a clock in straight line but opposite in direction ,20,22,24,48,B,ages
At what time between 4 and 5 o clock will the hands of a watch point in opposite directions ,45 min. past 4,40 min. past 4,,,D,ages
At what time between 9 and 10 o clock will the hands of a watch be together ,45 min. past 9,50 min. past 9,,,C,ages
