Question,A,B,C,D,Answer
A man can row at a speed of 4,1,1.5,2,2.5,B
A boat covers 24 km upstream and 36 km downstream in 6 hours while it covers 36 km upstream and 24 km downstream in 6,1 km/hr,2 km/hr,1.5 km/hr,2.5 km/hr,B
A boat while dowenstream in a reiver converd a distance of 50 miles at an average speed of 60 miles per hour While returning because of the water resistance it took 1 hour 15 minutes to cover the same distance What was the average speed during the whole journey ,40 mph,48 mph,50 mph,55 mph,B
A boat travels 24 km upstream in 6 hours and 20 km downstream in 4 hours Then the speed of boat in still water and the speed of current are respectively ,4 kmph and 3 kmph,4.5 kmph and 0.5 kmph,4 kmph and 2 kmph,5 kmph and 2 kmph,B
A man can row 6 km hr in still water If the speed of the current is 2 km hr he takes 4 hours more in upstream than the downstream The distance is ,30km,24km,20km,32km,D
A man rows 12 km in 5 hours against the stream and the speed of current being 4 kmph What time will be taken by him to row 15 km with the stream ,,,,,D
The speed of a boat downstream is 15 km hr and the speed of current is 3 km hr Find the total time taken by the boat to cover 15 km upstream and 15 km downstream ,2 hours 40 minutes,2 hours 42 minutes,2 hours 10 minutes,2 hours 30 minutes,A
The speed of a boat in still water is 10 km hr If it can travel 26 km downstream and 14 km upstream at the same time the speed of the stream is ,2 km/hr,2.5 km/hr,3 km/hr,4 km/hr,C
A man row to a place 48 km distant and back on 14 hours text He finds that he can row 4 km with the stream in the same time as 3 km against the stream The rate of the stream is ,1 km/hr,1.5 km/hr,1.8 km/hr,3.5 km/hr,A
Speed of a along and against the current are 14 kms hr and 8 kms hr respectively The speed of the current is ,11 km/hr,6 km/hr,5.5 km/hr,3 km/hr,D
The speed of a boat along the stream is 12 km hr and against the stream is 8 km hr The time taken by the boat to sail 24 km in still water is ,2 hrs,3 hrs,2.4 hrs,1.2 hrs,C
A motorboat in still water travels at a speed of 36 km hr It goes 56 km upstream in 1 hour 45 monutes The time taken by it to cover the same distance down the stream will be ,1 hour 24 minutes,2 hour 21 minutes,2 hour 25 minutes,3 hour,A
P Q and R are three towns on a river which flows uniformly Q is equidistant from P and R I row from P to Q and back in 10 hours and I can row from P to R in 4 hours Compare the speed of my boat in still water with that of the river ,4:03,5:03,6:05,7:03,B
,,,,,
A boat takes half time in moving a certain distance downstream than upstream The ratio of the speed of the boat in still water and that of the current is ,2:01,4:03,1:02,3:01,D
A boatman goes 2 km against the current of the stream in 1 hour and goes 1 km along the current in 10 minutes How long will it take to go 5 km in stationary water ,40 minutes,1 hour,1 hr 15 min,1 hr 30 min,C
A man can row three quarters of a kilometre against the stream in 11,2,3,4,5,D
Speed of a boat in standing water is 9 kmph and the speed of the stream is 1 5 kmph A man rows to a place at a distance of 105 km and comes back to the starting point The total time taken by him is ,16 hours,18 hours,20 hours,24 hours,D
A man takes twice as long to row a distance against the stream as to row the same distance in favour of the stream The ratio of the speed of the boat in still water and the stream is ,2:01,3:01,3:02,4:03,B
A man rows to a place 48 km distant and come back in 14 hours He finds that he can row 4 km with the stream in the same time as 3 km against the stream The rate of the stream is ,1 km/hr,1.5 km/hr,2 km/hr,2.5 km/hr,A
If the speed of a boat in still water is 20km hr and the speed of the current is 5km then the time taken by the boat to travel 100 km with the current is ,2 hr,3 hr,4 hr,7 hr,C
A man takes 2 2 times as long to row a distance upstream as to row the same distance downstream If he can row 55 km downstream in 2 hour 30 minutes what is the speed of the boat in the still water ,40 km/h,8 km/h,16 km/h,24 km/h,C
The speed of the boat in still water is 5 times that of current it takes 1 1 hour to row to point B from point A downstream The distance between point A and point B is 13 2 km How much distance in km will it cover in 312 minutes upstrem ,43.2,48,41.6,44.8,C
A boat can tarvel 36 km upstream in 5 hours If the speed of the stream is 2 4 kmph how much time will the boat take to cover a distance of 78 km downstream in hours ,5,6.5,5.5,8,B
A man can row upstream at 12km hr and downstream at 18 km hr The man rowing speed in still water is ,15 km/hr,5 km/hr,3 km/hr,10 km/hr,A
